팀명,1,2,3,4,5,6,7,8,9,10,11,12,R,H,E
SK,0,0,0,0,0,1,1,0,1,,,,3,7,1
kt,2,0,1,0,0,0,0,0,0,,,,3,9,1
키움,4,0,2,0,1,0,0,0,-,,,,7,9,1
kt,0,0,0,0,0,0,0,2,0,,,,2,8,0
키움,0,0,0,4,0,0,0,0,-,,,,4,7,0
NC,0,1,0,0,0,0,0,0,0,0,1,8,1,,
KIA,0,0,0,0,1,0,0,0,0,1,2,9,1,,
두산,2,0,0,1,0,0,0,0,0,,,,3,6,1
롯데,0,0,0,1,0,0,0,0,0,,,,1,6,2
SK,1,0,5,1,0,0,0,1,0,,,,8,11,2
한화,2,0,0,1,0,0,0,0,0,,,,3,9,2
삼성,0,0,0,0,0,0,5,1,0,,,,6,6,1
LG,1,2,1,0,1,0,0,0,0,,,,5,7,1
kt,2,0,1,0,3,0,0,0,2,,,,8,13,0
키움,0,0,0,1,0,0,0,0,0,,,,1,5,1
NC,3,0,0,0,0,0,0,0,1,,,,4,12,0
KIA,0,0,0,2,0,0,0,0,0,,,,2,9,0
두산,2,0,0,0,0,0,3,0,0,,,,5,11,0
롯데,0,0,0,0,0,1,0,0,0,,,,1,10,0
SK,0,0,1,0,0,0,0,0,0,,,,1,8,0
한화,0,0,0,0,0,0,0,0,0,,,,0,5,1
삼성,0,0,0,1,1,0,0,0,0,,,,2,6,0
LG,0,0,1,0,1,0,3,0,-,,,,5,10,0
한화,0,3,0,0,0,0,0,0,0,,,,3,9,0
키움,0,1,0,1,0,0,2,1,-,,,,5,11,0
KIA,0,0,0,0,0,1,1,0,1,1,0,0,4,12,0
SK,0,0,0,1,0,0,0,2,0,1,0,0,4,10,2
kt,0,0,0,0,0,0,0,0,0,,,,0,2,2
삼성,0,0,0,0,0,0,2,3,-,,,,5,8,0
롯데,0,0,1,0,0,0,0,0,0,,,,1,8,0
NC,0,0,1,0,0,0,0,0,1,,,,2,6,0
두산,0,0,0,0,0,0,0,0,0,,,,0,7,0
LG,1,0,2,0,0,0,0,0,-,,,,3,10,0
한화,0,0,0,0,0,0,0,1,2,,,,3,12,1
키움,3,2,0,0,0,0,0,0,-,,,,5,12,0
