선수명,팀명,이닝,K/9,BB/9,HR/9,LOB%,RA9-WAR,WAR,K/BB,ERA,FIP,kFIP,WHIP,oAVG,oOBP,oSLG,oOPS
윤희상,SK,293.2,6.13,-2.57,-1.29,68.2,6.13,3.61,2.38,-5.36,-5.29,-5.37,-1.47,-0.297,-0.352,-0.456,-0.808
문승원,SK,369.2,6.26,-3.02,-1.49,70.1,6.69,3.5,2.07,-5.26,-5.69,-5.77,-1.54,-0.301,-0.359,-0.488,-0.847
장필준,삼성,205.2,9.32,-3.37,-0.92,71,4.76,3.34,2.77,-4.73,-4.31,-4.04,-1.49,-0.283,-0.354,-0.413,-0.767
이민호,NC,269.1,7.69,-3.48,-1.2,67.6,4.1,3.2,2.21,-4.88,-5.11,-5.04,-1.49,-0.279,-0.349,-0.444,-0.793
송은범,한화,238.2,6.07,-4,-0.72,65.8,4.22,2.98,1.52,-5.13,-4.91,-5.05,-1.62,-0.298,-0.372,-0.398,-0.771
오주원,Hero,177,6.71,-2.29,-1.07,66.6,3.93,2.61,2.93,-5.08,-4.65,-4.62,-1.42,-0.293,-0.339,-0.445,-0.784
윤규진,한화,303.1,7.36,-3.77,-1.54,68,4.01,2.5,1.95,-5.93,-5.8,-5.8,-1.61,-0.302,-0.372,-0.491,-0.863
임창용,KIA,171.1,9.46,-3.2,-1.26,74,4.39,2.42,2.95,-4.73,-4.77,-4.48,-1.45,-0.277,-0.349,-0.448,-0.797
장현식,NC,237.1,7.7,-4.78,-1.14,67.8,4.49,2.29,1.61,-5.27,-5.39,-5.37,-1.53,-0.262,-0.354,-0.416,-0.77
최충연,삼성,176.2,9.22,-4.33,-1.02,66.4,2.29,2.11,2.13,-5.91,-4.81,-4.6,-1.58,-0.277,-0.363,-0.424,-0.788
김원중,롯데,260.1,7.92,-4.87,-1.49,67.5,3,1.95,1.62,-6.5,-6.03,-6.03,-1.73,-0.298,-0.388,-0.486,-0.874
